Date,Open,High,Low,Close
29-June-1998,807.77,838.61,807.77,838.40,
30-June-1998,841.48,841.58,821.56,827.79,
1-July-1998,818.36,827.55,803.21,821.39,
2-July-1998,818.78,820.43,806.71,808.37,
3-July-1998,806.75,806.75,786.08,786.31,
6-July-1998,791.17,809.82,791.17,809.26,
7-July-1998,811.14,826.14,810.05,816.30,
8-July-1998,822.96,833.98,821.95,828.50,
9-July-1998,835.33,850.95,835.33,846.28,
10-July-1998,855.68,863.86,848.49,862.27,
13-July-1998,867.84,877.86,845.63,846.43,
14-July-1998,848.99,858.04,843.83,857.59,
15-July-1998,865.30,870.45,853.21,856.83,
16-July-1998,861.51,885.78,854.80,885.69,
17-July-1998,889.20,893.88,877.19,880.45,
20-July-1998,881.09,881.44,860.33,861.95,
21-July-1998,862.12,869.52,848.86,854.58,
22-July-1998,856.13,859.68,844.69,852.07,
23-July-1998,848.59,849.62,820.29,823.11,
24-July-1998,816.70,822.45,805.74,810.17,
27-July-1998,810.68,819.37,788.75,790.22,
28-July-1998,791.94,812.37,791.00,810.69,
29-July-1998,811.33,827.25,809.86,822.68,
30-July-1998,828.57,835.39,816.59,822.07,
31-July-1998,826.15,826.93,815.02,821.67,
3-August-1998,810.78,810.78,797.82,799.35,
4-August-1998,798.18,806.90,797.52,799.85,
5-August-1998,788.40,805.42,786.36,804.30,
6-August-1998,803.97,811.77,795.89,797.19,
7-August-1998,797.02,801.12,791.56,791.61,
10-August-1998,790.78,791.47,783.13,783.61,
11-August-1998,779.79,780.56,770.50,771.86,
12-August-1998,763.61,775.39,760.01,765.20,
13-August-1998,764.02,780.16,759.70,774.17,
14-August-1998,775.06,778.08,766.93,768.84,
17-August-1998,774.53,779.06,757.46,757.50,
18-August-1998,757.01,757.01,742.89,746.01,
19-August-1998,750.19,758.56,740.09,750.22,
20-August-1998,756.31,775.09,751.04,775.09,
21-August-1998,767.72,774.74,758.41,759.12,
24-August-1998,759.90,767.45,754.13,765.75,
25-August-1998,767.86,777.41,767.86,776.72,
27-August-1998,779.63,788.68,772.00,772.10,
28-August-1998,763.22,767.82,751.23,753.49,
31-August-1998,755.94,763.29,747.74,760.15,
1-September-1998,744.24,747.65,739.60,743.04,
2-September-1998,751.70,752.59,744.47,748.64,
3-September-1998,748.36,756.70,746.12,755.36,
4-September-1998,758.02,769.72,756.96,767.48,
7-September-1998,776.83,789.74,776.83,786.69,
8-September-1998,787.79,799.32,783.85,797.18,
9-September-1998,804.04,809.68,795.81,797.16,
10-September-1998,795.44,805.18,792.84,799.80,
11-September-1998,790.37,794.94,786.57,791.76,
14-September-1998,802.88,812.75,802.88,812.06,
15-September-1998,809.30,814.74,808.35,810.59,
16-September-1998,812.51,816.87,803.64,805.11,
17-September-1998,807.39,811.22,801.51,802.36,
18-September-1998,799.34,799.69,794.45,795.89,
21-September-1998,800.76,806.79,794.25,794.30,
22-September-1998,797.48,799.99,791.04,796.86,
23-September-1998,800.30,807.32,799.78,807.13,
24-September-1998,813.70,828.48,813.70,826.95,
25-September-1998,828.34,836.45,824.77,826.34,
28-September-1998,834.94,837.98,824.74,825.02,
29-September-1998,830.58,831.53,805.16,810.17,
30-September-1998,807.08,807.80,795.46,800.27,
5-October-1998,786.98,786.98,744.76,744.88,
6-October-1998,743.79,755.65,730.57,755.65,
7-October-1998,760.34,779.35,760.33,779.00,
8-October-1998,783.66,787.09,751.40,751.40,
9-October-1998,755.78,765.38,749.27,754.61,
12-October-1998,754.52,757.10,739.42,744.39,
13-October-1998,739.40,742.79,722.67,734.08,
14-October-1998,732.99,752.07,725.72,748.28,
15-October-1998,744.85,750.00,738.51,740.82,
16-October-1998,747.93,749.64,734.30,736.33,
19-October-1998,739.04,742.34,736.33,737.94,
20-October-1998,735.85,735.85,712.49,716.07,
23-October-1998,715.11,725.72,711.69,722.68,
26-October-1998,752.53,759.75,749.47,752.22,
27-October-1998,753.38,753.38,744.27,752.12,
28-October-1998,755.82,755.82,736.79,736.96,
29-October-1998,734.92,739.26,725.93,739.17,
30-October-1998,739.29,743.40,731.22,731.25,
2-November-1998,732.93,733.41,721.79,730.47,
3-November-1998,731.16,734.06,728.25,729.04,
5-November-1998,730.38,736.14,728.88,735.42,
6-November-1998,737.03,744.49,737.03,744.27,
9-November-1998,759.62,773.23,759.62,768.24,
10-November-1998,770.34,774.78,764.11,774.60,
11-November-1998,777.87,781.85,768.44,768.70,
12-November-1998,767.95,776.47,760.65,776.20,
13-November-1998,768.70,778.77,767.96,768.81,
16-November-1998,763.99,769.22,759.78,760.89,
17-November-1998,761.59,768.78,761.58,767.51,
18-November-1998,769.83,777.96,769.27,776.90,
19-November-1998,778.81,780.28,767.75,767.75,
20-November-1998,768.37,769.99,759.06,761.02,
23-November-1998,758.44,760.58,752.46,754.88,
24-November-1998,756.11,758.74,750.14,750.60,
25-November-1998,749.59,749.59,743.51,745.02,
26-November-1998,743.30,749.06,728.47,730.72,
27-November-1998,730.86,731.20,718.02,720.55,
30-November-1998,718.21,727.40,711.47,727.38,
1-December-1998,725.92,730.52,722.52,725.10,
