"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"16-Apr-2014","     5275.00","     5294.70","     5222.85","     5230.35","      708352501","        13491.46"
"17-Apr-2014","     5246.30","     5312.65","     5242.30","     5310.75","      651546530","        13467.29"
"21-Apr-2014","     5321.45","     5352.55","     5321.45","     5347.25","      606036155","        11693.62"
"22-Apr-2014","     5354.30","     5365.80","     5341.00","     5346.60","      683287991","        11796.64"
"23-Apr-2014","     5352.80","     5377.95","     5351.85","     5362.45","      849320479","        16963.64"
"25-Apr-2014","     5372.80","     5373.85","     5320.10","     5328.60","      730347838","        15084.60"
"28-Apr-2014","     5327.55","     5334.50","     5307.55","     5321.50","      676370686","        13210.51"
"29-Apr-2014","     5330.05","     5338.30","     5283.25","     5286.05","      748805490","        13125.29"
"30-Apr-2014","     5294.80","     5334.10","     5221.95","     5255.65","      929192918","        15667.14"
"02-May-2014","     5271.05","     5291.10","     5256.20","     5260.95","      578855116","        10724.31"
"05-May-2014","     5253.75","     5289.60","     5253.75","     5260.30","      556908399","        10622.33"
"06-May-2014","     5275.40","     5294.10","     5262.85","     5273.10","      468444180","         9407.85"
"07-May-2014","     5269.50","     5278.50","     5227.45","     5232.85","      546473188","        12173.01"
"08-May-2014","     5246.30","     5261.75","     5222.40","     5236.60","      501085792","        10432.80"
"09-May-2014","     5232.25","     5382.50","     5231.90","     5375.90","      802908179","        15819.71"
"12-May-2014","     5380.25","     5482.90","     5380.25","     5479.70","      882115104","        16366.64"
"13-May-2014","     5526.80","     5600.10","     5524.45","     5562.55","     1172466722","        21403.86"
"14-May-2014","     5569.25","     5593.50","     5555.45","     5583.60","     1051608382","        18929.96"
"15-May-2014","     5588.90","     5618.35","     5554.45","     5580.30","      917003627","        17222.13"
"16-May-2014","     5689.30","     5888.15","     5610.50","     5656.00","     1654563233","        35339.61"
"19-May-2014","     5711.85","     5766.85","     5682.20","     5762.60","     1707779207","        29252.74"
"20-May-2014","     5804.90","     5824.45","     5762.25","     5790.95","     1666839382","        24248.60"
"21-May-2014","     5799.90","     5809.30","     5748.65","     5792.30","     1436663978","        21203.37"
"22-May-2014","     5828.70","     5872.20","     5813.05","     5841.30","     1609503398","        22761.53"
"23-May-2014","     5872.85","     5931.60","     5870.00","     5923.65","     1511299691","        24333.05"
"26-May-2014","     5976.85","     6035.15","     5804.15","     5883.75","     1794138558","        28260.76"
"27-May-2014","     5888.40","     5888.40","     5796.30","     5844.20","     1128416155","        17421.29"
"28-May-2014","     5853.30","     5870.60","     5835.75","     5861.25","     1101516470","        18170.42"
"29-May-2014","     5855.85","     5860.85","     5788.85","     5796.45","     1107595277","        22799.38"
"30-May-2014","     5813.95","     5831.20","     5789.25","     5802.85","     1185893515","        24901.27"
"02-Jun-2014","     5829.10","     5914.05","     5818.30","     5911.70","      924766778","        16676.57"
"03-Jun-2014","     5926.20","     5963.10","     5906.45","     5956.85","     1144813218","        20526.16"
"04-Jun-2014","     5960.95","     5982.05","     5955.10","     5972.85","     1239021008","        19997.35"
"05-Jun-2014","     5979.20","     6043.00","     5948.05","     6037.65","     1351373894","        23767.56"
"06-Jun-2014","     6078.05","     6134.15","     6067.60","     6129.95","     1410551388","        25436.25"
"09-Jun-2014","     6164.55","     6209.80","     6164.30","     6196.70","     1661153252","        24571.72"
"10-Jun-2014","     6218.30","     6218.30","     6125.20","     6192.30","     1397278819","        21837.56"
"11-Jun-2014","     6207.20","     6234.25","     6123.60","     6152.55","     1338736844","        22961.92"
"12-Jun-2014","     6161.70","     6178.05","     6124.05","     6168.80","      989175179","        17164.11"
"13-Jun-2014","     6184.45","     6191.00","     6040.45","     6057.50","     1114587340","        21337.06"
"16-Jun-2014","     6050.00","     6064.00","     5990.70","     6056.70","      981708400","        17157.43"
"17-Jun-2014","     6051.25","     6142.75","     6044.20","     6139.35","      907343865","        17565.92"
"18-Jun-2014","     6146.25","     6177.70","     6049.20","     6084.85","     1149101557","        19592.79"
"19-Jun-2014","     6103.05","     6127.30","     6040.95","     6064.75","      819797974","        15691.48"
"20-Jun-2014","     6066.45","     6082.75","     6026.90","     6038.60","      877248071","        14548.35"
"23-Jun-2014","     6044.40","     6065.70","     6001.25","     6037.95","      816069082","        13660.85"
"24-Jun-2014","     6054.20","     6124.40","     6054.20","     6113.85","      937533251","        16153.19"
"25-Jun-2014","     6123.05","     6127.25","     6106.65","     6115.15","      806982445","        14227.51"
"26-Jun-2014","     6107.80","     6119.90","     6058.55","     6065.80","      938593485","        18884.31"
"27-Jun-2014","     6083.30","     6105.80","     6055.35","     6082.10","      810695865","        14857.36"
"30-Jun-2014","     6102.40","     6180.85","     6102.40","     6174.20","      818639694","        16094.02"
"01-Jul-2014","     6192.00","     6212.00","     6187.20","     6199.90","      808783092","        15096.89"
"02-Jul-2014","     6240.10","     6282.20","     6240.10","     6276.90","      933160627","        17789.53"
"03-Jul-2014","     6289.90","     6301.70","     6260.10","     6267.20","      876932476","        17229.86"
"04-Jul-2014","     6273.05","     6300.85","     6230.00","     6297.60","      766993073","        14614.16"
"07-Jul-2014","     6319.80","     6329.30","     6300.90","     6322.00","      753882678","        17126.43"
"08-Jul-2014","     6336.45","     6336.45","     6131.55","     6152.30","      945567180","        19653.94"
"09-Jul-2014","     6159.20","     6169.05","     6076.20","     6104.00","      979622198","        18216.05"
"10-Jul-2014","     6105.95","     6233.05","     6008.20","     6105.20","     1403789512","        24675.88"
"11-Jul-2014","     6116.00","     6153.55","     5981.45","     5991.70","     1006595970","        18352.61"
"14-Jul-2014","     5993.65","     6008.55","     5958.90","     5990.70","      688863159","        13108.37"
"15-Jul-2014","     6020.25","     6071.55","     6004.65","     6067.35","      696464709","        13443.21"
"16-Jul-2014","     6096.15","     6157.60","     6080.00","     6147.90","      835056267","        16132.02"
"17-Jul-2014","     6140.55","     6185.95","     6140.55","     6179.45","      760462984","        15010.42"
"18-Jul-2014","     6167.45","     6199.55","     6135.25","     6184.55","      718747757","        14919.86"
"21-Jul-2014","     6213.05","     6234.80","     6193.50","     6200.30","      584930251","        12379.58"
"22-Jul-2014","     6219.55","     6254.45","     6216.40","     6251.35","      662837781","        14149.43"
"23-Jul-2014","     6272.95","     6283.60","     6226.80","     6261.10","      710698294","        14781.87"
"24-Jul-2014","     6263.90","     6283.35","     6242.95","     6278.95","      703213796","        14482.41"
"25-Jul-2014","     6278.75","     6284.30","     6192.60","     6230.45","      819809215","        17368.05"
